date,close,slow_ma_130SMA,fast_ma_44SMA
2021-06-29,35867.77734375,48864.09185697115,36643.67800071023
2021-06-30,35040.8359375,48702.101983173074,36450.571732954544
2021-07-01,33572.1171875,48517.734074519234,36238.36070667614
2021-07-02,33897.046875,48361.50120192308,36167.78355823864
2021-07-03,34668.546875,48252.609825721156,36028.824662642044
2021-07-04,35287.78125,48141.705588942306,35982.985795454544
2021-07-05,33746.00390625,48039.02983774038,35896.835138494316
2021-07-06,34235.1953125,47945.91778846154,35884.66725852273
2021-07-07,33855.328125,47851.04759615385,35774.42515980114
2021-07-08,32877.37109375,47756.736838942306,35648.8603515625
2021-07-09,33798.01171875,47634.94275841346,35523.94699928977
2021-07-10,33520.51953125,47520.64684495192,35412.209517045456
2021-07-11,34240.1875,47395.27719350962,35379.086381392044
2021-07-12,33155.84765625,47276.77472956731,35345.899591619316
2021-07-13,32702.025390625,47151.96488882211,35278.26087535511
2021-07-14,32822.34765625,47028.195387620195,35175.749334161934
2021-07-15,31780.73046875,46878.76491887019,35064.290349786934
2021-07-16,31421.5390625,46718.572731370194,34924.434881036934
2021-07-17,31533.068359375,46539.41081730769,34749.98721590909
2021-07-18,31796.810546875,46353.16666165865,34634.132768110794
2021-07-19,30817.83203125,46145.572130408655,34526.539018110794
2021-07-20,29807.34765625,45933.843344350964,34388.92467151989
2021-07-21,32110.693359375,45709.748016826925,34355.96981534091
2021-07-22,32313.10546875,45502.138701923075,34329.61692116477
2021-07-23,33581.55078125,45330.40294471154,34244.081232244316
2021-07-24,34292.4453125,45157.23019831731,34189.30504261364
2021-07-25,35350.1875,44976.301682692305,34144.20933948864
2021-07-26,37337.53515625,44818.444861778844,34184.77796519886
2021-07-27,39406.94140625,44672.75477764423,34191.802556818184
2021-07-28,39995.90625,44531.849098557694,34186.744140625
2021-07-29,40008.421875,44397.11832932692,34177.7021484375
2021-07-30,42235.546875,44302.55219350962,34266.07679332386
2021-07-31,41626.1953125,44201.68488581731,34347.27432528409
2021-08-01,39974.89453125,44103.22818509615,34442.44815340909
2021-08-02,39201.9453125,44007.05730168269,34523.94984019886
2021-08-03,38152.98046875,43876.40859375,34579.738103693184
2021-08-04,39747.50390625,43751.59314903846,34763.16561612216
2021-08-05,40869.5546875,43635.583984375,34953.25412819602
2021-08-06,42816.5,43520.709375,35159.92396129261
2021-08-07,44555.80078125,43410.23329326923,35384.773126775566
2021-08-08,43798.1171875,43293.92010216346,35661.14444247159
2021-08-09,46365.40234375,43195.993900240384,35983.397283380684
2021-08-10,45585.03125,43089.84558293269,36231.92879971591
2021-08-11,45593.63671875,42997.459014423075,36485.549272017044
2021-08-12,44428.2890625,42887.22620192308,36680.10635653409
2021-08-13,47793.3203125,42800.575751201926,36969.935546875
2021-08-14,47096.9453125,42715.22641225962,37277.31800426136
2021-08-15,47047.00390625,42645.980769230766,37576.1806640625
2021-08-16,46004.484375,42551.215625,37833.815607244316
2021-08-17,44695.359375,42446.98759014423,38047.624200994316
2021-08-18,44801.1875,42331.66415264423,38298.878373579544
2021-08-19,46717.578125,42227.91502403846,38582.568892045456
2021-08-20,49339.17578125,42146.728275240384,38934.47452059659
2021-08-21,48905.4921875,42034.43623798077,39298.75
2021-08-22,49321.65234375,41928.374368990386,39651.560014204544
2021-08-23,49546.1484375,41822.46772836539,40015.778852982956
2021-08-24,47706.1171875,41715.801021634616,40321.822709517044
2021-08-25,48960.7890625,41625.62385817308,40681.025923295456
2021-08-26,46942.21875,41554.285667067306,41004.666681463066
2021-08-27,49058.66796875,41503.01183894231,41373.67396129261
2021-08-28,48902.40234375,41444.776231971155,41762.80286754261
2021-08-29,48829.83203125,41405.728094951926,42158.44588955966
2021-08-30,47054.984375,41369.51817908654,42511.21670809659
2021-08-31,47166.6875,41339.31075721154,42860.53209339489
2021-09-01,48847.02734375,41330.05045072115,43270.28653231534
2021-09-02,49327.72265625,41332.538671875,43713.93141867898
2021-09-03,50025.375,41301.797295673074,44121.08327414773
2021-09-04,49944.625,41262.65504807692,44521.799627130684
2021-09-05,51753.41015625,41239.029717548074,44934.796431107956
2021-09-06,52633.53515625,41231.94068509615,45351.63938210227
2021-09-07,46811.12890625,41147.79417067308,45612.11532315341
2021-09-08,46091.390625,41057.512169471156,45811.066583806816
2021-09-09,46391.421875,40978.745582932694,45969.80477627841
2021-09-10,44883.91015625,40884.00417668269,46080.89577414773
2021-09-11,45201.45703125,40821.44969951923,46198.91930042614
2021-09-12,46063.26953125,40734.05940504808,46285.91299715909
2021-09-13,44963.07421875,40646.10985576923,46361.751154119316
