min_calmar,mean_calmar,n_positive,n_periods,slow_ma_len,slow_ma_type,fast_ma_len,fast_ma_type,allow_longs,allow_shorts,use_fast_ma,leverage_long,leverage_short,sl_enable,sl_risk_pct,signal_tf,calmar_2021_default,ann_2021_default,maxdd_2021_default,trades_2021_default,calmar_bull_2020_2021,ann_bull_2020_2021,maxdd_bull_2020_2021,trades_bull_2020_2021,calmar_bear_2022,ann_bear_2022,maxdd_bear_2022,trades_bear_2022,calmar_recovery_2023_2025,ann_recovery_2023_2025,maxdd_recovery_2023_2025,trades_recovery_2023_2025,calmar_last_2y,ann_last_2y,maxdd_last_2y,trades_last_2y
-2.536,7.8878,4,5,130,SMA,60,SMA,True,True,True,4.0,2.0,True,6.0,D,10.498,546.05,52.02,68,-2.536,-67.49,26.61,5,16.392,162.14,9.89,6,13.732,714.26,52.02,50,1.353,52.14,38.54,32
-2.554,2.1369999999999996,4,5,130,SMA,30,SMA,True,True,True,3.0,1.0,True,4.0,D,1.408,72.13,51.25,107,-2.554,-51.66,20.22,8,10.026,91.71,9.15,14,1.467,75.15,51.25,74,0.338,17.3,51.25,47
-2.554,2.3062,4,5,130,SMA,44,SMA,True,True,True,3.0,1.0,True,4.0,D,3.228,118.98,36.86,81,-2.554,-44.93,17.59,6,5.373,62.87,11.7,10,4.388,161.72,36.86,57,1.096,40.39,36.86,39
-2.554,3.9560000000000004,4,5,130,SMA,60,SMA,True,True,True,3.0,1.0,True,4.0,D,4.066,154.28,37.94,68,-2.554,-47.16,18.46,5,10.366,71.82,6.93,6,5.224,198.24,37.94,50,2.678,72.15,26.94,32
-2.554,2.9215999999999998,4,5,130,SMA,30,SMA,True,True,True,3.0,1.25,True,4.0,D,1.772,93.11,52.54,107,-2.554,-48.7,19.07,8,13.596,128.8,9.47,14,1.418,74.48,52.54,74,0.376,19.75,52.54,47
-2.554,2.7692,4,5,130,SMA,44,SMA,True,True,True,3.0,1.25,True,4.0,D,3.656,140.53,38.44,81,-2.554,-44.93,17.59,6,7.388,86.77,11.75,10,4.155,159.7,38.44,57,1.201,46.18,38.44,39
-2.554,4.9414,4,5,130,SMA,60,SMA,True,True,True,3.0,1.25,True,4.0,D,4.767,183.75,38.54,68,-2.554,-47.16,18.46,5,14.483,97.04,6.7,6,5.105,196.76,38.54,50,2.906,80.34,27.64,32
-2.554,5.1424,4,5,130,SMA,30,SMA,True,True,True,3.0,2.0,True,4.0,D,1.742,95.88,55.04,108,-2.554,-71.16,27.86,8,25.172,263.02,10.45,14,1.251,68.87,55.04,75,0.101,5.58,55.04,47
-2.554,3.8522,4,5,130,SMA,44,SMA,True,True,True,3.0,2.0,True,4.0,D,3.429,148.66,43.36,81,-2.554,-44.93,17.59,6,14.033,166.66,11.88,10,3.732,161.79,43.36,57,0.621,26.91,43.36,39
-2.554,8.333400000000001,4,5,130,SMA,60,SMA,True,True,True,3.0,2.0,True,4.0,D,6.007,233.83,38.93,68,-2.554,-47.16,18.46,5,30.127,181.24,6.02,6,5.557,216.33,38.93,50,2.53,71.09,28.1,32
-2.554,2.8934,4,5,130,SMA,30,SMA,True,True,True,4.0,1.0,True,4.0,D,2.995,149.97,50.08,107,-2.554,-51.66,20.22,8,10.026,91.71,9.15,14,3.328,166.68,50.08,74,0.672,33.64,50.08,47
-2.554,3.378,4,5,130,SMA,44,SMA,True,True,True,4.0,1.0,True,4.0,D,5.408,222.59,41.16,81,-2.554,-44.19,17.3,6,5.373,62.87,11.7,10,7.429,305.75,41.16,57,1.234,50.77,41.16,39
-2.554,6.298399999999999,4,5,130,SMA,60,SMA,True,True,True,4.0,1.0,True,4.0,D,8.555,331.28,38.72,68,-2.554,-47.16,18.46,5,10.366,71.82,6.93,6,11.187,433.19,38.72,50,3.938,109.69,27.85,32
-2.554,3.7282,4,5,130,SMA,30,SMA,True,True,True,4.0,1.25,True,4.0,D,3.669,188.6,51.4,107,-2.554,-48.7,19.07,8,13.596,128.8,9.47,14,3.218,165.44,51.4,74,0.712,36.63,51.4,47
-2.554,3.8736000000000006,4,5,130,SMA,44,SMA,True,True,True,4.0,1.25,True,4.0,D,6.103,260.16,42.63,81,-2.554,-44.19,17.3,6,7.388,86.77,11.75,10,7.09,302.24,42.63,57,1.341,57.18,42.63,39
-2.554,7.404000000000001,4,5,130,SMA,60,SMA,True,True,True,4.0,1.25,True,4.0,D,9.935,390.6,39.32,68,-2.554,-47.16,18.46,5,14.483,97.04,6.7,6,10.943,430.22,39.32,50,4.213,120.28,28.55,32
-2.554,5.8878,4,5,130,SMA,30,SMA,True,True,True,4.0,2.0,True,4.0,D,3.589,193.69,53.97,108,-2.554,-71.16,27.86,8,25.172,263.02,10.45,14,2.874,155.12,53.97,75,0.358,19.3,53.97,47
-2.554,4.905199999999999,4,5,130,SMA,44,SMA,True,True,True,4.0,2.0,True,4.0,D,5.81,274.32,47.21,81,-2.554,-44.19,17.3,6,14.033,166.66,11.88,10,6.478,305.87,47.21,57,0.759,35.84,47.21,39
-2.554,11.104000000000001,4,5,130,SMA,60,SMA,True,True,True,4.0,2.0,True,4.0,D,12.38,491.43,39.69,68,-2.554,-47.16,18.46,5,30.127,181.24,6.02,6,11.831,469.62,39.69,50,3.736,108.32,29.0,32
-0.055,9.1904,3,5,100,SMA,60,SMA,True,True,True,3.0,2.0,False,2.0,D,1.363,108.83,79.84,93,43.267,1517.59,35.08,18,-0.035,-1.46,41.78,9,1.412,112.74,79.84,63,-0.055,-4.07,74.53,46
-0.073,7.0214,3,5,100,SMA,60,SMA,True,True,True,3.0,1.0,True,12.0,D,1.934,134.02,69.31,93,30.454,1317.02,43.25,18,-0.003,-0.06,23.86,9,2.795,193.68,69.31,63,-0.073,-4.42,60.37,46
-0.099,9.671,3,5,100,SMA,60,SMA,True,True,True,4.0,1.25,True,12.0,D,3.293,253.46,76.96,93,40.797,1939.13,47.53,18,-0.099,-2.83,28.61,9,4.437,341.46,76.96,63,-0.073,-5.13,70.25,46
-0.114,7.335000000000001,3,5,100,SMA,44,SMA,True,True,True,4.0,1.0,True,12.0,D,9.774,632.5,64.71,107,17.152,925.92,53.98,22,-0.084,-2.55,30.26,13,9.947,643.69,64.71,70,-0.114,-7.38,64.71,53
