slow_ma_len,slow_ma_type,fast_ma_len,fast_ma_type,allow_longs,allow_shorts,use_fast_ma,leverage_long,leverage_short,sl_enable,sl_risk_pct,signal_tf,period_start,period_end,trades,pl_pct,ann_return,end_capital,max_dd,calmar,liq_risk,win_rate,profit_factor,expectancy,sharpe_trade,avg_win,avg_loss,max_win,max_loss,sl_hits,sl_hit_rate,ticker,period_name,mode
160,EMA,44,SMA,True,True,True,4.0,1.0,True,4.0,W,2021-04-14,2026-04-02,7,54.04,13.1,1540.38,7.84,1.671,False,28.57,4.011,8.6,0.323,40.11,-4.0,67.29,-4.0,5,71.4,VOO,2021_default,equity_quick
200,EMA,20,SMA,True,True,True,2.0,1.0,True,12.0,W,2021-04-14,2026-04-02,6,83.81,21.53,1838.11,13.01,1.655,False,66.67,7.685,14.64,0.389,25.25,-6.57,90.4,-12.0,1,16.7,VOO,2021_default,equity_quick
130,EMA,20,SMA,True,True,True,2.0,1.0,False,2.0,W,2021-04-14,2026-04-02,6,76.83,19.35,1768.3,12.11,1.598,False,66.67,5.567,12.13,0.472,22.18,-7.97,59.67,-12.11,0,0.0,VOO,2021_default,equity_quick
100,SMA,60,SMA,True,True,True,2.0,1.0,True,12.0,W,2021-04-14,2026-04-02,5,81.13,18.89,1811.3,12.0,1.574,False,60.0,4.304,15.86,0.506,34.43,-12.0,60.28,-12.0,2,40.0,VOO,2021_default,equity_quick
160,EMA,60,SMA,True,False,True,4.0,1.0,True,4.0,D,2021-04-14,2026-04-02,29,160.27,39.34,2602.66,25.57,1.539,False,31.03,3.112,4.72,0.24,22.42,-3.24,70.3,-4.0,14,48.3,VOO,2021_default,equity_quick
100,EMA,20,SMA,True,True,True,2.0,1.0,False,2.0,W,2021-04-14,2026-04-02,5,78.5,18.27,1785.03,12.11,1.509,False,80.0,7.072,14.71,0.532,21.41,-12.11,59.67,-12.11,0,0.0,VOO,2021_default,equity_quick
200,EMA,60,SMA,True,False,True,4.0,1.0,True,4.0,D,2021-04-14,2026-04-02,29,155.19,38.02,2551.87,25.57,1.487,False,31.03,3.023,4.66,0.237,22.42,-3.34,70.3,-4.0,15,51.7,VOO,2021_default,equity_quick
130,SMA,20,SMA,True,True,True,2.0,1.0,True,12.0,W,2021-04-14,2026-04-02,5,59.03,17.59,1590.28,12.0,1.465,False,60.0,3.721,13.06,0.4,29.77,-12.0,66.42,-12.0,2,40.0,VOO,2021_default,equity_quick
100,SMA,44,SMA,True,True,False,3.0,1.0,True,4.0,D,2021-04-14,2026-04-02,41,177.65,39.45,2776.54,27.48,1.436,False,24.39,3.087,3.28,0.233,19.9,-2.08,55.97,-4.0,9,22.0,VOO,2021_default,equity_quick
160,EMA,20,SMA,True,True,True,3.0,1.0,False,2.0,W,2021-04-14,2026-04-02,5,99.86,23.97,1998.64,16.75,1.431,False,40.0,6.319,24.59,0.38,73.03,-7.7,139.88,-12.34,0,0.0,VOO,2021_default,equity_quick
160,EMA,20,SMA,True,True,True,3.0,1.0,True,4.0,W,2021-04-14,2026-04-02,6,46.32,11.22,1463.19,7.84,1.431,False,33.33,4.277,8.74,0.329,34.21,-4.0,62.25,-4.0,4,66.7,VOO,2021_default,equity_quick
160,EMA,44,SMA,True,True,True,4.0,1.0,False,2.0,W,2021-04-14,2026-04-02,5,149.37,35.85,2493.71,25.18,1.424,False,40.0,6.806,39.68,0.392,116.28,-11.39,219.63,-19.81,0,0.0,VOO,2021_default,equity_quick
160,SMA,20,SMA,True,False,True,4.0,1.0,True,12.0,W,2021-04-14,2026-04-02,5,83.13,20.94,1831.33,14.89,1.407,False,20.0,5.068,24.18,0.341,150.63,-7.43,150.63,-12.0,2,40.0,VOO,2021_default,equity_quick
160,EMA,20,SMA,True,False,True,4.0,1.0,True,4.0,W,2021-04-14,2026-04-02,7,59.21,14.92,1592.13,10.86,1.373,False,28.57,4.611,9.95,0.307,44.45,-3.86,82.99,-4.0,4,57.1,VOO,2021_default,equity_quick
130,EMA,44,SMA,True,True,False,2.0,1.0,False,2.0,W,2021-04-14,2026-04-02,5,79.33,19.04,1793.32,13.88,1.371,False,60.0,5.282,15.17,0.519,31.19,-8.86,59.67,-13.88,0,0.0,VOO,2021_default,equity_quick
100,SMA,20,SMA,True,True,True,2.0,1.0,True,12.0,W,2021-04-14,2026-04-02,6,70.2,16.34,1701.97,12.0,1.362,False,66.67,4.034,12.13,0.407,24.2,-12.0,67.74,-12.0,2,33.3,VOO,2021_default,equity_quick
200,EMA,20,SMA,True,False,True,2.0,1.0,True,4.0,W,2021-04-14,2026-04-02,6,24.99,8.63,1249.94,6.67,1.293,False,33.33,3.113,4.8,0.279,21.23,-3.41,39.51,-4.0,3,50.0,VOO,2021_default,equity_quick
200,EMA,60,SMA,True,False,True,4.0,1.0,True,8.0,D,2021-04-14,2026-04-02,29,186.62,45.72,2866.2,35.38,1.292,False,34.48,2.896,5.21,0.255,23.07,-4.19,70.3,-8.0,1,3.4,VOO,2021_default,equity_quick
