slow_ma_len,slow_ma_type,fast_ma_len,fast_ma_type,allow_longs,allow_shorts,use_fast_ma,leverage_long,leverage_short,sl_enable,sl_risk_pct,atr_sl_enable,atr_sl_len,atr_sl_mult,signal_tf,period_start,period_end,trades,pl_pct,ann_return,end_capital,max_dd,calmar,liq_risk,win_rate,profit_factor,expectancy,sharpe_trade,avg_win,avg_loss,max_win,max_loss,sl_hits,sl_hit_rate,ticker,period_name,mode
100,SMA,44,SMA,True,True,True,3.0,1.25,True,9.0,False,14,2.5,D,2021-04-14,2026-04-03,107,2375.03,480.86,24750.28,60.16,7.993,False,23.36,2.576,6.15,0.186,43.01,-5.09,167.89,-9.0,29,27.1,BTC-USD,2021_default,btc_quick
100,SMA,60,SMA,True,True,True,3.0,1.0,True,6.0,False,14,2.5,D,2021-04-14,2026-04-03,94,2385.24,482.93,24852.37,60.83,7.939,False,22.34,2.805,6.41,0.202,44.58,-4.57,156.61,-6.0,41,43.6,BTC-USD,2021_default,btc_quick
130,SMA,60,SMA,True,True,True,3.0,1.25,True,9.0,False,14,2.5,D,2021-04-14,2026-04-03,68,2237.08,457.24,23370.77,57.67,7.929,False,27.94,2.876,8.12,0.241,44.56,-6.01,156.61,-9.0,21,30.9,BTC-USD,2021_default,btc_quick
130,SMA,44,SMA,True,True,True,3.0,1.25,True,6.0,False,14,2.5,D,2021-04-14,2026-04-03,81,1651.42,337.54,17514.24,42.92,7.864,False,23.46,3.035,6.52,0.2,41.46,-4.19,167.89,-6.0,32,39.5,BTC-USD,2021_default,btc_quick
130,SMA,44,SMA,True,True,True,3.0,2.0,True,12.0,False,14,2.5,D,2021-04-14,2026-04-03,81,1986.1,405.95,20861.03,51.97,7.812,False,27.16,2.628,7.47,0.211,44.38,-6.3,167.89,-12.0,18,22.2,BTC-USD,2021_default,btc_quick
100,SMA,44,SMA,True,True,True,4.0,2.0,True,9.0,False,14,2.5,D,2021-04-14,2026-04-03,108,2694.91,545.63,27949.11,73.1,7.464,False,21.3,2.566,7.98,0.182,61.37,-6.47,223.85,-9.0,47,43.5,BTC-USD,2021_default,btc_quick
100,SMA,60,SMA,True,True,True,2.0,2.0,True,4.0,False,14,2.5,D,2021-04-14,2026-04-03,94,1756.09,355.55,18560.87,48.32,7.357,False,20.21,2.668,5.02,0.214,39.7,-3.77,104.41,-4.0,64,68.1,BTC-USD,2021_default,btc_quick
130,SMA,60,SMA,True,True,True,3.0,1.0,True,6.0,False,14,2.5,D,2021-04-14,2026-04-03,68,1670.75,341.49,17707.47,47.61,7.173,False,25.0,3.119,7.34,0.226,43.25,-4.62,156.61,-6.0,28,41.2,BTC-USD,2021_default,btc_quick
160,SMA,44,SMA,True,True,True,4.0,1.0,True,12.0,False,14,2.5,D,2021-04-14,2026-04-03,92,2042.03,418.55,21420.32,59.59,7.024,False,22.83,2.805,7.87,0.185,53.55,-5.65,223.85,-12.0,18,19.6,BTC-USD,2021_default,btc_quick
130,SMA,60,SMA,True,True,True,2.0,2.0,True,4.0,False,14,2.5,D,2021-04-14,2026-04-03,68,1310.79,267.92,14107.89,38.21,7.012,False,22.06,3.121,5.98,0.243,39.88,-3.62,104.41,-4.0,42,61.8,BTC-USD,2021_default,btc_quick
100,SMA,44,SMA,True,True,True,2.0,1.0,True,4.0,False,14,2.5,D,2021-04-14,2026-04-03,108,1513.8,306.49,16138.01,43.86,6.988,False,21.3,2.761,4.17,0.19,30.69,-3.01,111.92,-4.0,51,47.2,BTC-USD,2021_default,btc_quick
160,SMA,44,SMA,True,True,True,3.0,1.25,True,6.0,False,14,2.5,D,2021-04-14,2026-04-03,92,1840.56,377.25,19405.65,54.29,6.949,False,21.74,2.824,6.21,0.192,44.19,-4.35,167.89,-6.0,38,41.3,BTC-USD,2021_default,btc_quick
130,SMA,44,SMA,True,True,True,2.0,2.0,True,4.0,False,14,2.5,D,2021-04-14,2026-04-03,81,1122.2,229.37,12222.02,33.04,6.942,False,22.22,2.935,5.01,0.207,34.18,-3.33,111.92,-4.0,45,55.6,BTC-USD,2021_default,btc_quick
100,SMA,44,SMA,True,True,True,3.0,1.25,True,4.0,False,14,2.5,D,2021-04-14,2026-04-03,108,1581.52,320.2,16815.16,46.82,6.839,False,17.59,2.83,5.0,0.173,43.96,-3.32,167.89,-4.0,63,58.3,BTC-USD,2021_default,btc_quick
100,SMA,30,SMA,True,True,True,4.0,1.25,True,6.0,False,14,2.5,D,2021-04-14,2026-04-03,135,2239.78,453.48,23397.79,66.54,6.815,False,19.26,2.569,5.74,0.156,48.82,-4.53,224.49,-6.0,69,51.1,BTC-USD,2021_default,btc_quick
100,SMA,60,SMA,True,True,True,3.0,2.0,True,6.0,False,14,2.5,D,2021-04-14,2026-04-03,94,2113.97,428.01,22139.74,63.85,6.704,False,20.21,2.57,6.58,0.199,53.28,-5.25,156.61,-6.0,54,57.4,BTC-USD,2021_default,btc_quick
