allow_longs,allow_shorts,anchor_year,ann_return,atr_entry_enable,atr_entry_len,atr_long_mult,atr_short_mult,atr_sl_enable,atr_sl_len,atr_sl_mult,avg_loss,avg_win,calmar,end_capital,expectancy,fast_ma_len,fast_ma_type,leverage_long,leverage_short,liq_risk,max_dd,max_loss,max_win,period_end,period_start,pl_pct,profit_factor,sharpe_trade,signal_tf,sl_enable,sl_hit_rate,sl_hits,sl_risk_pct,slow_ma_len,slow_ma_type,stage,trades,trail_activate_pct,trail_atr_factor,trail_atr_len,trail_sl_enable,use_fast_ma,win_rate,window_end,window_start
True,True,2021,2139.72,False,14,1.7,1.5,False,14,2.5,-3.85,1803.38,71.059,13302.3,176.87,60,SMA,4.0,0.5,False,30.11,-8.0,1803.38,2021-04-01,2020-04-01,1230.23,52.008,0.309,D,True,30.0,3,8.0,100,SMA,coarse,10,5.0,2.0,14,False,True,10.0,2021-04-01,2020-04-01
True,True,2021,2085.66,False,14,1.7,1.5,False,14,2.5,-4.14,1803.38,65.7,12991.48,176.62,60,SMA,4.0,1.0,False,31.75,-6.0,1803.38,2021-04-01,2020-04-01,1199.15,48.445,0.309,D,True,40.0,4,6.0,100,SMA,coarse,10,5.0,2.0,14,False,True,10.0,2021-04-01,2020-04-01
True,True,2021,2085.24,False,14,1.7,1.5,False,14,2.5,-3.35,1726.61,72.178,12989.04,153.92,60,SMA,4.0,1.0,False,28.89,-4.0,1726.61,2021-04-01,2020-04-01,1198.9,51.594,0.295,D,True,63.6,7,4.0,100,SMA,coarse,11,5.0,2.0,14,False,True,9.09,2021-04-01,2020-04-01
True,True,2021,2082.37,False,14,1.7,1.5,False,14,2.5,-5.03,103.98,74.797,12972.55,29.03,30,SMA,3.0,1.25,False,27.84,-9.0,207.46,2021-04-01,2020-04-01,1197.26,9.392,0.411,D,True,25.0,4,9.0,100,SMA,coarse,16,5.0,2.0,14,False,True,31.25,2021-04-01,2020-04-01
True,True,2021,2065.09,False,14,1.7,1.5,False,14,2.5,-4.19,1803.38,63.804,12873.23,176.57,60,SMA,4.0,0.5,False,32.37,-9.0,1803.38,2021-04-01,2020-04-01,1187.32,47.867,0.309,D,True,30.0,3,9.0,100,SMA,coarse,10,5.0,2.0,14,False,True,10.0,2021-04-01,2020-04-01
True,True,2021,2023.68,False,14,1.7,1.5,False,14,2.5,-3.62,1726.61,65.645,12635.12,153.68,60,SMA,4.0,1.25,False,30.83,-4.0,1726.61,2021-04-01,2020-04-01,1163.51,47.76,0.295,D,True,72.7,8,4.0,100,SMA,coarse,11,5.0,2.0,14,False,True,9.09,2021-04-01,2020-04-01
True,True,2021,2011.25,False,14,1.7,1.5,False,14,2.5,-5.22,103.98,72.524,12563.64,28.9,30,SMA,3.0,0.5,False,27.73,-12.0,207.46,2021-04-01,2020-04-01,1156.36,9.052,0.408,D,True,25.0,4,12.0,100,SMA,coarse,16,5.0,2.0,14,False,True,31.25,2021-04-01,2020-04-01
True,True,2021,2008.69,False,14,1.7,1.5,False,14,2.5,-4.51,1803.38,58.957,12548.92,176.28,60,SMA,4.0,1.25,False,34.07,-6.0,1803.38,2021-04-01,2020-04-01,1154.89,44.457,0.308,D,True,50.0,5,6.0,100,SMA,coarse,10,5.0,2.0,14,False,True,10.0,2021-04-01,2020-04-01
True,True,2021,2052.67,False,14,1.7,1.5,False,14,2.5,-3.2,124.86,119.677,12520.81,26.93,30,SMA,3.0,1.0,False,17.15,-4.0,207.46,2021-04-01,2020-04-01,1152.08,12.004,0.392,D,True,47.1,8,4.0,100,SMA,coarse,17,5.0,2.0,14,False,True,23.53,2021-04-01,2020-04-01
True,True,2021,1988.15,False,14,1.7,1.5,False,14,2.5,-4.59,1803.38,57.311,12430.82,176.21,60,SMA,4.0,1.0,False,34.69,-8.0,1803.38,2021-04-01,2020-04-01,1143.08,43.679,0.308,D,True,30.0,3,8.0,100,SMA,coarse,10,5.0,2.0,14,False,True,10.0,2021-04-01,2020-04-01
True,True,2021,1974.07,False,14,1.7,1.5,False,14,2.5,-3.84,1726.61,60.949,12349.9,153.48,60,SMA,4.0,2.0,False,32.39,-4.0,1726.61,2021-04-01,2020-04-01,1134.99,44.997,0.294,D,True,81.8,9,4.0,100,SMA,coarse,11,5.0,2.0,14,False,True,9.09,2021-04-01,2020-04-01
True,True,2021,1991.89,False,14,1.7,1.5,False,14,2.5,-3.41,124.86,102.626,12179.65,26.77,30,SMA,3.0,1.25,False,19.41,-4.0,207.46,2021-04-01,2020-04-01,1117.96,11.276,0.39,D,True,52.9,9,4.0,100,SMA,coarse,17,5.0,2.0,14,False,True,23.53,2021-04-01,2020-04-01
True,True,2021,1938.68,False,14,1.7,1.5,False,14,2.5,-5.61,103.98,58.447,12146.42,28.63,30,SMA,3.0,2.0,False,33.17,-8.0,207.46,2021-04-01,2020-04-01,1114.64,8.419,0.404,D,True,37.5,6,8.0,100,SMA,coarse,16,5.0,2.0,14,False,True,31.25,2021-04-01,2020-04-01
True,True,2021,1918.41,False,14,1.7,1.5,False,14,2.5,-4.92,1803.38,52.135,12029.86,175.91,60,SMA,4.0,1.0,False,36.8,-9.0,1803.38,2021-04-01,2020-04-01,1102.99,40.72,0.308,D,True,30.0,3,9.0,100,SMA,coarse,10,5.0,2.0,14,False,True,10.0,2021-04-01,2020-04-01
