slow_ma_len,slow_ma_type,fast_ma_len,fast_ma_type,allow_longs,allow_shorts,use_fast_ma,leverage_long,leverage_short,sl_enable,sl_risk_pct,atr_sl_enable,atr_sl_len,atr_sl_mult,signal_tf,period_start,period_end,trades,pl_pct,ann_return,end_capital,max_dd,calmar,liq_risk,win_rate,profit_factor,expectancy,sharpe_trade,avg_win,avg_loss,max_win,max_loss,sl_hits,sl_hit_rate,ticker,period_name,mode
130,SMA,44,SMA,True,True,True,3.0,2.0,False,9.0,True,7,2.5,D,2021-04-14,2026-04-03,81,2703.65,552.61,28036.55,51.32,10.767,False,29.63,2.713,8.04,0.224,42.98,-6.67,167.89,-26.05,2,2.5,BTC-USD,2021_default,atr_quick
130,SMA,44,SMA,True,True,True,4.0,2.0,False,9.0,True,14,3.0,D,2021-04-14,2026-04-03,81,3215.28,657.18,33152.81,61.12,10.752,False,29.63,2.778,10.06,0.218,53.06,-8.04,223.85,-34.73,2,2.5,BTC-USD,2021_default,atr_quick
130,SMA,44,SMA,True,True,True,3.0,1.25,False,9.0,True,7,2.0,D,2021-04-14,2026-04-03,81,2567.11,524.7,26671.13,49.09,10.689,False,29.63,2.956,7.49,0.22,38.2,-5.44,167.89,-26.05,3,3.7,BTC-USD,2021_default,atr_quick
130,SMA,44,SMA,True,True,True,3.0,2.0,False,9.0,True,28,2.5,D,2021-04-14,2026-04-03,81,2681.69,548.12,27816.9,51.32,10.68,False,29.63,2.709,8.03,0.223,42.98,-6.68,167.89,-26.05,2,2.5,BTC-USD,2021_default,atr_quick
130,SMA,44,SMA,True,True,True,4.0,2.0,False,9.0,True,20,3.0,D,2021-04-14,2026-04-03,81,3180.91,650.15,32809.07,61.12,10.637,False,29.63,2.774,10.05,0.217,53.06,-8.05,223.85,-34.73,2,2.5,BTC-USD,2021_default,atr_quick
130,SMA,44,SMA,True,True,True,4.0,1.25,False,9.0,True,10,2.0,D,2021-04-14,2026-04-03,81,3188.23,651.65,32882.29,62.18,10.48,False,29.63,3.012,9.56,0.214,48.27,-6.75,223.85,-38.31,4,4.9,BTC-USD,2021_default,atr_quick
130,SMA,44,SMA,True,True,True,3.0,2.0,False,9.0,True,14,2.0,D,2021-04-14,2026-04-03,81,2605.9,532.63,27059.05,51.32,10.378,False,29.63,2.69,8.0,0.222,42.98,-6.73,167.89,-27.09,6,7.4,BTC-USD,2021_default,atr_quick
130,SMA,44,SMA,True,True,True,3.0,2.0,False,9.0,True,20,2.0,D,2021-04-14,2026-04-03,81,2601.21,531.67,27012.09,51.32,10.359,False,29.63,2.689,8.0,0.222,42.98,-6.73,167.89,-26.08,6,7.4,BTC-USD,2021_default,atr_quick
130,SMA,44,SMA,True,True,True,3.0,2.0,False,9.0,True,14,3.0,D,2021-04-14,2026-04-03,81,2548.18,520.83,26481.84,51.32,10.148,False,29.63,2.679,7.98,0.222,42.98,-6.76,167.89,-26.05,2,2.5,BTC-USD,2021_default,atr_quick
130,SMA,44,SMA,True,True,True,4.0,1.25,False,9.0,True,10,2.5,D,2021-04-14,2026-04-03,81,2974.67,608.0,30746.66,59.98,10.137,False,29.63,2.965,9.48,0.212,48.27,-6.85,223.85,-34.73,2,2.5,BTC-USD,2021_default,atr_quick
