min_calmar,mean_calmar,n_positive,n_periods,slow_ma_len,slow_ma_type,fast_ma_len,fast_ma_type,allow_longs,allow_shorts,use_fast_ma,leverage_long,leverage_short,sl_enable,sl_risk_pct,atr_sl_enable,atr_sl_len,atr_sl_mult,signal_tf,calmar_btc_p1_bull_2017,ann_btc_p1_bull_2017,maxdd_btc_p1_bull_2017,trades_btc_p1_bull_2017,calmar_btc_p2_bear_2018,ann_btc_p2_bear_2018,maxdd_btc_p2_bear_2018,trades_btc_p2_bear_2018,calmar_btc_p3_sideways_2019,ann_btc_p3_sideways_2019,maxdd_btc_p3_sideways_2019,trades_btc_p3_sideways_2019,calmar_btc_p4_bull_2020_2021,ann_btc_p4_bull_2020_2021,maxdd_btc_p4_bull_2020_2021,trades_btc_p4_bull_2020_2021,calmar_btc_p5_bear_2022,ann_btc_p5_bear_2022,maxdd_btc_p5_bear_2022,trades_btc_p5_bear_2022,calmar_btc_p6_bull_2023_2024,ann_btc_p6_bull_2023_2024,maxdd_btc_p6_bull_2023_2024,trades_btc_p6_bull_2023_2024,calmar_btc_p7_current_2025,ann_btc_p7_current_2025,maxdd_btc_p7_current_2025,trades_btc_p7_current_2025
-0.154,4.249142857142858,6,7,100,SMA,44,SMA,True,True,True,4.0,1.0,True,9.0,False,14,2.5,D,1.436,75.49,52.58,15,-0.154,-5.25,34.1,22,0.091,3.68,40.28,14,5.463,315.05,57.67,38,0.273,8.01,29.36,17,21.872,1428.06,65.29,40,0.763,25.17,32.99,30
-0.159,30.03242857142857,6,7,100,SMA,30,SMA,True,True,True,3.0,1.25,True,9.0,False,14,2.5,D,177.099,4364.24,24.64,12,0.324,10.65,32.84,24,2.105,71.01,33.73,19,26.625,1307.9,49.12,44,0.947,31.94,33.71,23,3.286,233.43,71.03,52,-0.159,-7.01,44.08,37
-0.166,4.144,6,7,100,SMA,60,SMA,True,True,True,3.0,2.0,True,8.0,False,14,2.5,D,12.492,377.33,30.21,14,0.387,17.1,44.22,20,-0.166,-5.88,35.47,16,9.204,541.74,58.86,29,1.126,49.77,44.22,14,4.803,347.19,72.28,38,1.162,51.43,44.27,25
-0.166,36.51185714285714,6,7,130,SMA,60,SMA,True,True,True,2.0,1.25,True,12.0,False,14,2.5,D,201.157,2717.95,13.51,7,-0.166,-8.29,49.97,15,24.439,293.27,12.0,11,24.765,749.04,30.25,13,0.683,23.87,34.96,11,3.42,175.76,51.39,33,1.285,33.33,25.94,17
-0.166,21.99885714285714,6,7,130,SMA,30,SMA,True,True,True,4.0,2.0,True,12.0,False,14,2.5,D,120.403,2716.3,22.56,7,0.268,14.36,53.56,20,11.709,535.96,45.77,15,16.029,1117.91,69.74,32,2.101,79.92,38.03,20,3.648,251.22,68.86,46,-0.166,-7.88,47.54,30
-0.167,28.08585714285714,6,7,130,SMA,30,SMA,True,True,True,2.0,2.0,True,4.0,False,14,2.5,D,163.295,1280.23,7.84,7,4.495,97.65,21.72,20,3.165,62.69,19.81,15,7.966,350.49,44.0,32,13.236,204.53,15.45,20,4.611,178.55,38.72,47,-0.167,-4.63,27.7,30
-0.175,23.502,6,7,130,SMA,30,SMA,True,True,True,3.0,1.0,True,8.0,False,14,2.5,D,135.421,2080.07,15.36,7,-0.175,-6.62,37.95,20,0.324,10.85,33.54,15,21.373,999.24,46.75,32,1.307,33.56,25.67,20,6.127,317.11,51.76,46,0.137,4.49,32.82,30
-0.175,35.862428571428566,6,7,130,SMA,30,SMA,True,True,True,4.0,1.0,True,8.0,False,14,2.5,D,221.926,3408.79,15.36,7,-0.175,-6.62,37.95,20,0.468,16.96,36.27,15,17.502,912.3,52.12,32,1.307,33.56,25.67,20,9.878,581.87,58.91,46,0.131,5.24,39.87,30
-0.177,5.780714285714285,6,7,100,SMA,60,SMA,True,True,True,3.0,2.0,True,9.0,False,14,2.5,D,25.017,830.37,33.19,12,0.123,5.96,48.32,20,-0.177,-6.18,34.97,16,9.441,539.73,57.17,28,0.724,35.0,48.32,14,4.266,312.58,73.27,38,1.071,49.95,46.66,25
-0.19,35.176428571428566,6,7,100,SMA,30,SMA,True,True,True,4.0,2.0,True,12.0,False,14,2.5,D,202.539,6451.44,31.85,12,0.599,26.08,43.51,24,1.956,86.96,44.45,19,37.499,2197.65,58.61,44,1.284,57.3,44.62,23,2.548,209.85,82.35,52,-0.19,-10.77,56.6,37
-0.197,21.590857142857146,6,7,130,SMA,30,SMA,True,True,True,2.0,1.0,True,9.0,False,14,2.5,D,126.233,2169.94,17.19,7,-0.197,-8.0,40.6,20,9.912,275.56,27.8,15,11.289,522.14,46.25,32,1.336,35.67,26.7,20,2.467,118.18,47.91,46,0.096,2.72,28.5,30
-0.198,8.419857142857143,6,7,100,SMA,60,SMA,True,True,True,4.0,1.25,True,8.0,False,14,2.5,D,16.684,514.24,30.82,14,0.14,4.92,35.11,19,-0.198,-6.92,34.96,16,28.144,1078.86,38.33,29,0.197,7.99,40.54,14,12.918,922.0,71.37,38,1.054,41.11,38.99,25
-0.2,23.030142857142863,6,7,100,SMA,44,SMA,True,True,True,2.0,1.0,True,8.0,False,14,2.5,D,146.015,3231.48,22.13,13,0.979,27.1,27.67,22,-0.2,-7.21,36.14,14,6.139,222.64,36.27,37,0.705,18.39,26.07,17,6.776,332.92,49.13,40,0.797,22.76,28.55,30
-0.203,5.316142857142856,6,7,100,SMA,30,SMA,True,True,True,4.0,1.25,True,8.0,False,14,2.5,D,1.796,107.81,60.04,14,0.123,3.76,30.6,24,3.746,120.28,32.11,19,22.863,1373.92,60.09,46,1.225,38.73,31.62,23,7.663,569.6,74.33,52,-0.203,-10.38,51.19,37
-0.205,69.45271428571428,6,7,130,SMA,60,SMA,True,True,True,3.0,1.25,True,12.0,False,14,2.5,D,425.057,6064.47,14.27,7,-0.205,-10.25,49.97,15,29.794,426.12,14.3,11,24.818,904.33,36.44,13,0.592,20.7,34.96,11,5.211,340.69,65.38,33,0.902,32.32,35.82,17
